Name,R_Gal,e_Rm,e_Rp,Te,e_Te
G025.459-0.210,3.576311307360926,0.05349319196779412,0.16625590300369275,7400.0,2700.0
G025.159+0.060,5.475272706182299,0.2313568655412288,0.2510476992946362,6700.0,1900.0
G025.275-0.317,5.14869455756553,0.25285835842665616,0.26212770319791456,5800.0,1500.0
G026.544+0.415,4.416527911606193,0.4667604386805091,0.609441125059468,6900.0,600.0
G026.090-0.057,7.116907013881138,1.146950329481819,1.1818488753144614,8000.0,1600.0
G027.279+0.145,6.588959518510873,0.9687902760478178,1.066422619040738,7400.0,800.0
G027.494+0.191,6.6984660435165875,1.0180384776972353,1.0859002170948884,5700.0,500.0
G027.994-0.022,3.84931513320364,0.005499356320246118,0.02133740098914405,2300.0,400.0
G028.287-0.364,5.737256442613342,0.21203910044682672,0.22301030701082247,8000.0,1300.0
G028.305-0.389,4.733579562540664,0.24304698975784245,0.26010153953937465,5800.0,700.0
G028.569+0.020,4.424147947873644,0.1405541029561057,0.15547307467410132,5700.0,1100.0
G028.594-0.360,4.317752820699591,0.19609039851598276,0.2552505043715323,8400.0,1600.0
G028.609+0.018,4.16894035734385,0.19938478499652001,0.3549173698962722,6800.0,1000.0
G028.652+0.028,4.013123940573262,0.0791969200192515,0.226094491858575,7100.0,1300.0
G028.687+0.176,4.613584788788721,0.2796859732774326,0.34016232617240405,8100.0,2900.0
G028.700+0.043,4.019771003518243,0.0786734342030968,0.2224167920491027,7900.0,1500.0
G028.789+0.243,3.996534605504425,0.05696386051919866,0.1786032975086247,7300.0,2400.0
G028.805+0.175,4.015201033755515,0.06597074285827631,0.2052771709164043,7600.0,700.0
G028.817-0.227,4.296605827465521,0.17988252822746542,0.24325111087773088,6000.0,900.0
G028.977-0.607,5.097342575766246,0.46208941286357597,0.545897173092234,5800.0,1400.0
G029.002+0.071,5.121254687364363,0.5775714807576264,0.7289609963863253,5200.0,1500.0
G029.859-0.059,4.083047440114633,0.0066425183047691405,0.02479706988965802,3200.0,400.0
G029.889-0.005,4.356072528507484,0.15805498653402328,0.21885201760918793,5000.0,500.0
G029.935-0.054,4.097082338057477,0.025194750646107877,0.08978040488173633,5400.0,300.0
G029.957-0.017,4.6839740580923905,0.19215302402146062,0.22861059547109264,5700.0,300.0
G030.024-0.044,4.480563939282103,0.2297149290924736,0.3195609454669386,5100.0,1300.0
G030.195-0.167,4.755336808203883,0.10584010890858497,0.11278245808045373,4700.0,1300.0
G030.252+0.053,4.856552618795928,0.3840278809304305,0.4814851387033272,6000.0,1600.0
G030.415-0.232,5.194014721362543,0.1907201694413505,0.2048971731148086,5100.0,700.0
G030.535+0.021,6.23370452572728,0.8036516342976219,0.8975195833626923,5500.0,400.0
G030.685-0.259,4.366869277664774,0.15478014794263117,0.296275013663883,6400.0,500.0
G030.687-0.072,4.185254439762587,0.0064714431559682595,0.023845153854949785,6000.0,500.0
G030.720-0.082,4.70812087419667,0.19817953004849986,0.23460181935606705,9900.0,1000.0
G030.750+0.013,4.659450634483057,0.14118710864892936,0.165778972324083,7000.0,400.0
G030.755-0.049,5.779066141076244,0.3441171114719932,0.36719501716825587,6700.0,400.0
G030.765-0.034,4.278899073102878,0.07563129976456473,0.1596050695028186,9400.0,900.0
G030.784-0.027,4.406928811347333,0.13629176897344752,0.20262102694081818,5700.0,300.0
G030.789-0.100,4.197892007870881,0.010726698558163328,0.04087757548304616,4200.0,1600.0
G030.854+0.151,6.188874889673005,0.26194274984383004,0.2627949718292202,5200.0,700.0
G031.070+0.050,6.921011156987836,0.9213159297947406,1.0317476216458878,6100.0,1000.0
G031.147+0.275,4.2419438202102455,0.012336013513307265,0.04538701466158379,7800.0,2000.0
G031.244-0.110,7.476940088366001,1.8150153877474766,2.100061345699066,7100.0,700.0
G031.279+0.063,4.814624977834004,0.2680049490877998,0.34036340083197647,6700.0,900.0
G031.394-0.259,4.760165639181306,0.3226755164238799,0.45666425064752314,5100.0,500.0
G031.412+0.308,5.368112045783364,0.22977795796712197,0.25663418510152347,6300.0,400.0
G031.474-0.344,4.728435766695346,0.2512905241947285,0.3409307877984551,4100.0,900.0
G032.150+0.133,4.4263319779548045,0.056179892014823096,0.1381130951171965,6200.0,500.0
G032.272-0.225,7.320460113440056,0.3827786342613795,0.4016255084707341,11100.0,1700.0
G032.589+0.008,5.070596412276403,0.26595485646563244,0.3162961798150734,6000.0,1600.0
G032.797+0.191,5.259759179695943,0.8182424254514151,1.9702261855674381,8400.0,400.0
G032.927+0.606,13.099467739549564,1.366705371569914,1.3897365462834408,9900.0,2500.0
G032.990+0.040,4.785428464155803,0.23171309111705618,0.37505741533666903,5400.0,900.0
G033.204-0.009,4.496859585345788,0.025285478327536026,0.09131263911587784,5900.0,900.0
G033.419-0.004,5.189245535122272,0.39160429090954807,0.5244549310098074,5900.0,1100.0
G033.810-0.189,6.685772146832758,0.7935223794031412,0.8961099177426952,8500.0,1700.0
G033.915+0.110,4.584809721952798,0.02654252231582266,0.09919813667571731,6100.0,400.0
G034.089+0.436,7.098277889951583,0.871710847632496,0.9661638387848015,8000.0,1800.0
G034.132+0.471,6.731052571683438,0.3601183276233,0.3737142024992508,8500.0,1200.0
G034.255+0.146,5.719457885488339,0.19614668270347302,0.20667362372636866,6700.0,300.0
G034.257+0.153,5.719563045695216,0.18965797714221022,0.21282560006532059,10700.0,700.0
G034.322+0.160,5.87689608768591,0.2122260260389579,0.22152421075542605,3000.0,600.0
G034.685+0.068,6.054146258478654,0.29288476067752,0.3293426775306889,6800.0,1900.0
G035.035-0.504,5.918065146069741,0.20655988391220426,0.22066394169777848,6700.0,900.0
G035.467+0.140,4.982349450187447,0.12883487373382962,0.17998052627844885,5800.0,800.0
G035.544+0.003,5.871474403377399,0.2791611254400541,0.31015000295709516,4800.0,900.0
G035.574+0.068,6.180935236374972,0.6123729420457495,0.729796195088726,7300.0,1000.0
G037.874-0.399,5.980085377877519,0.4612708819254072,0.5779128822663795,7800.0,500.0
G037.764-0.214,5.910921880367066,0.46045086601657115,0.5404581508431239,7200.0,700.0
G039.882-0.345,5.9142607003084215,0.24348912137071288,0.2992027944207143,7500.0,1200.0
G039.249-0.065,7.7444886171089715,0.8584476382970454,0.9191981808976379,8300.0,900.0
G041.742+0.096,8.474466143911668,0.9481562589774395,1.0232137608034826,7600.0,1200.0
G041.514-0.140,6.007715021021113,0.22725452831354076,0.277462977781882,5300.0,800.0
G043.169+0.008,7.601502691683423,0.5562609004550847,0.6161860547470575,8000.0,400.0
G043.149+0.013,7.591941080954458,0.6772921169259858,0.7929281298058761,11100.0,600.0
G043.182-0.027,7.712280453304108,0.28899195695686597,0.3123875384480854,11700.0,1100.0
G043.165-0.029,7.594243803426921,0.6931716581165013,0.777634766470312,10000.0,600.0
G043.890-0.784,5.893224034529316,0.14753224866816605,0.2266424318675364,6600.0,1000.0
G043.185-0.525,6.050406465011415,0.17736281039764723,0.21543129869937783,6800.0,800.0
G043.237-0.044,8.610585547446775,0.9012600111159044,0.9884537513844691,8000.0,700.0
G045.122+0.131,6.292196343836732,0.2673305094861691,0.352192720431054,10600.0,600.0
G045.132+0.143,6.181148276933385,0.15789917826932776,0.19911398169963768,7800.0,600.0
G045.454+0.060,6.415937093372641,0.38205735957788,0.5665071483523256,7700.0,400.0
G045.477+0.131,6.301061487773898,0.2497623077341382,0.3429974202273094,6700.0,400.0
